MS,MS Name,CCI,Ver,Programme Title,Fund,Priority,TO_code,To short,TO long,Category of region,EAFRD Measure code,Measure short description,EAFRD Focus Area code,Focus area short description,EU Amount,National Amount,Total Amount,EU co-financing
HU,Hungary,2014HU06RDNP001,5.2,Hungary - National Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M12,NAT 2000 & WFD,FA_P4,Priority 4,58944439.64,19648146.54,78592586.18,75
FR,France,2014FR16M0OP009,3.2,Guadeloupe - ERDF/ESF/YEI,ERDF,05,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,Less developed,VOID,VOID,VOID,VOID,142500000,35625000,178125000,80
HU,Hungary,2014HU06RDNP001,5.2,Hungary - National Rural Development,EAFRD,P5,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_5E,Carbon conservation / sequestration,2790375,591522.52,3381897.52,82.51
PT,Portugal,2014PT16M2OP001,3.2,Norte - ERDF/ESF,ERDF,4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,Less developed,VOID,VOID,VOID,VOID,211649889,37349981,248999870,85
EE,Estonia,2014EE16M3OP001,4.1,Cohesion Policy Funding - EE - ERDF/ESF/CF,CF,8,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,VOID,VOID,VOID,VOID,56852754,10032840,66885594,85
HU,Hungary,2014HU06RDNP001,5.2,Hungary - National Rural Development,EAFRD,P2,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M06,Farm and business development,FA_2B,New farmers,108867861,12852455.81,121720316.81,89.44
HU,Hungary,2014HU06RDNP001,5.2,Hungary - National Rural Development,EAFRD,P3,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_3A,Competitiveness of producers,10175532.2,1201278.12,11376810.32,89.44
HU,Hungary,2014HU06RDNP001,5.2,Hungary - National Rural Development,EAFRD,,DM,Discontinued Measures,EAFRD Discontinued Measures from 2007-2013,VOID,M113,Early retirement,FA_M113,M113,2412761,949035.02,3361796.02,71.77
PT,Portugal,2014PT16M2OP001,3.2,Norte - ERDF/ESF,ESF,8,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Less developed,VOID,VOID,VOID,VOID,273680531,48296565,321977096,85
PL,Poland,2014PL16M2OP007,3,Mazowieckie Voivodeship - ERDF/ESF,ESF,X,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",More developed,VOID,VOID,VOID,VOID,158551614,39637904,198189518,80
PT,Portugal,2014PT16M2OP001,3.2,Norte - ERDF/ESF,ERDF,2,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),Less developed,VOID,VOID,VOID,VOID,1020887136,346660629,1367547765,74.65
HU,Hungary,2014HU06RDNP001,5.2,Hungary - National Rural Development,EAFRD,P5,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M08,Forest,FA_5E,Carbon conservation / sequestration,140024492.41,41195555.48,181220047.89,77.27
PT,Portugal,2014PT16M2OP003,3.1,Alentejo - ERDF/ESF,ERDF,4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,Less developed,VOID,VOID,VOID,VOID,86377252,15243044,101620296,85
FR,France,2014FR16M0OP009,3.2,Guadeloupe - ERDF/ESF/YEI,ERDF,08,12,Outermost & Sparsely Populated,Special allocations to Outermost & sparsely populated regions,Outermost or Northern Sparsely Populated,VOID,VOID,VOID,VOID,35000000,8750000,43750000,80
HU,Hungary,2014HU06RDNP001,5.2,Hungary - National Rural Development,EAFRD,P5,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_5E,Carbon conservation / sequestration,1832274,216310.17,2048584.17,89.44
PT,Portugal,2014PT16M2OP007,3.2,Algarve - ERDF/ESF,ERDF,3,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,Transition,VOID,VOID,VOID,VOID,18910000,4727500,23637500,80
HU,Hungary,2014HU06RDNP001,5.2,Hungary - National Rural Development,EAFRD,P6,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_6A,"Diversification, SMEs and job creation",3756633,443491.44,4200124.44,89.44
HU,Hungary,2014HU06RDNP001,5.2,Hungary - National Rural Development,EAFRD,P2,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_2B,New farmers,2080846,441111.42,2521957.42,82.51
EE,Estonia,2014EE16M3OP001,4.1,Cohesion Policy Funding - EE - ERDF/ESF/CF,ESF,2,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Less developed,VOID,VOID,VOID,VOID,139379940,26945168,166325108,83.8
HU,Hungary,2014HU06RDNP001,5.2,Hungary - National Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M04,Physical Investment,FA_P4,Priority 4,7128232.49,2376077.49,9504309.98,75
HU,Hungary,2014HU06RDNP001,5.2,Hungary - National Rural Development,EAFRD,P3,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_3A,Competitiveness of producers,23511832.18,2775702.46,26287534.64,89.44
PT,Portugal,2014PT16M2OP007,3.2,Algarve - ERDF/ESF,ERDF,7,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Transition,VOID,VOID,VOID,VOID,9474794,2368699,11843493,80
HU,Hungary,2014HU06RDNP001,5.2,Hungary - National Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M04,Physical Investment,FA_P4,Priority 4,7128232.51,2376077.51,9504310.02,75
PT,Portugal,2014PT16M2OP007,3.2,Algarve - ERDF/ESF,ERDF,4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,Transition,VOID,VOID,VOID,VOID,29000000,7250000,36250000,80
DE,Germany,2014DE16RFOP010,1.2,Rheinland-Pfalz - ERDF,ERDF,PA 3,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,46506436,109832091,156338527,29.75
HU,Hungary,2014HU06RDNP001,5.2,Hungary - National Rural Development,EAFRD,P2,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M06,Farm and business development,FA_2A,Farm performance,18995794.94,4026855.53,23022650.47,82.51
FR,France,2014FR16M0OP009,3.2,Guadeloupe - ERDF/ESF/YEI,ERDF,04,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",Less developed,VOID,VOID,VOID,VOID,12715886,3178971,15894857,80
EE,Estonia,2014EE16M3OP001,4.1,Cohesion Policy Funding - EE - ERDF/ESF/CF,CF,8,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,VOID,VOID,VOID,VOID,55641206,9819036,65460242,85
PT,Portugal,2014PT16M2OP007,3.2,Algarve - ERDF/ESF,ESF,7,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Transition,VOID,VOID,VOID,VOID,21921429,5480358,27401787,80
HU,Hungary,2014HU06RDNP001,5.2,Hungary - National Rural Development,EAFRD,P3,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M17,Risk management,FA_3B,Risk management,78641932,16671041.76,95312973.76,82.51
CZ,Czechia,2014CZ16M2OP001,5,Prague Growth Pole - ERDF/ESF,ERDF,2,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,56773327,56773327,113546654,50
EE,Estonia,2014EE16M3OP001,4.1,Cohesion Policy Funding - EE - ERDF/ESF/CF,CF,10,07,Network Infrastructures in Transport and Energy,Promoting sustainable transport and removing bottlenecks in key network infrastructures,VOID,VOID,VOID,VOID,VOID,470677882,106699304,577377186,81.52
FR,France,2014FR16M0OP009,3.2,Guadeloupe - ERDF/ESF/YEI,ERDF,01,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),Less developed,VOID,VOID,VOID,VOID,61800000,61800000,123600000,50
FR,France,2014FR16M0OP011,4.3,Martinique - ERDF/ESF/YEI,ERDF,10(2),10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Less developed,VOID,VOID,VOID,VOID,8000000,7935000,15935000,50.2
PT,Portugal,2014PT16RFTA001,2,Technical Assistance - PT - ERDF,ERDF,1,TA,Technical Assistance,Technical Assistance,Less developed,VOID,VOID,VOID,VOID,126378184,22302034,148680218,85
FR,France,2014FR16M0OP009,3.2,Guadeloupe - ERDF/ESF/YEI,ERDF,03,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,Less developed,VOID,VOID,VOID,VOID,49072000,49072000,98144000,50
FR,France,2014FR16M0OP011,4.3,Martinique - ERDF/ESF/YEI,ERDF,3,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),Less developed,VOID,VOID,VOID,VOID,103700000,115300000,219000000,47.35
HU,Hungary,2014HU06RDNP001,5.2,Hungary - National Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M11,Organic Farming,FA_P4,Priority 4,82706338.51,21093013.83,103799352.34,79.68
PT,Portugal,2014PT16M2OP001,3.2,Norte - ERDF/ESF,ERDF,5,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,Less developed,VOID,VOID,VOID,VOID,170999221,30176333,201175554,85
EE,Estonia,2014EE16M3OP001,4.1,Cohesion Policy Funding - EE - ERDF/ESF/CF,ERDF,13,TA,Technical Assistance,Technical Assistance,Less developed,VOID,VOID,VOID,VOID,68657347,12116003,80773350,85
PL,Poland,2014PL16M2OP007,3,Mazowieckie Voivodeship - ERDF/ESF,ERDF,V,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",More developed,VOID,VOID,VOID,VOID,11906029,2976507,14882536,80
EE,Estonia,2014EE16M3OP001,4.1,Cohesion Policy Funding - EE - ERDF/ESF/CF,ERDF,12,11,Efficient Public Administration,Enhancing institutional capacity of public authorities and stakeholders and efficient public administration,Less developed,VOID,VOID,VOID,VOID,92772992,16371705,109144697,85
CZ,Czechia,2014CZ16M2OP001,5,Prague Growth Pole - ERDF/ESF,ESF,3,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,13304947,13304947,26609894,50
PT,Portugal,2014PT16M3OP001,4.1,Competitiveness and Internationalisation  - PT - ERDF/ESF/CF,ERDF,II,02,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),Less developed,VOID,VOID,VOID,VOID,95000000,16764706,111764706,85
HU,Hungary,2014HU06RDNP001,5.2,Hungary - National Rural Development,EAFRD,P5,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M08,Forest,FA_5C,Renewable energy,19177585,4065392.6,23242977.6,82.51
RO,Romania,2014RO16RFOP001,4.1,Competitiveness Programme - RO - ERDF,ERDF,AP1,01,Research & Innovation,"Strengthening research, technological development and innovation",Less developed,VOID,VOID,VOID,VOID,608862850,107446386,716309236,85
ES,Spain,2014ES05SFOP012,2,Social inclusion and social economy - ES - ESF,ESF,1A,08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,4033924,4033924,8067848,50
IT,Italy,2014IT05SFOP002,3.1,Systems for Active Employment Policies - IT - ESF,ESF,2,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",More developed,VOID,VOID,VOID,VOID,4372183,4372183,8744366,50
GR,Greece,2014GR05M2OP001,4.1,Reform of the Public Sector - GR - ESF/ERDF,ESF,2,11,Efficient Public Administration,Enhancing institutional capacity of public authorities and stakeholders and efficient public administration,Transition,VOID,VOID,VOID,VOID,6451174,6451174,12902348,50
IT,Italy,2014IT05SFOP002,3.1,Systems for Active Employment Policies - IT - ESF,ESF,5,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,2492952,2492952,4985904,50
GR,Greece,2014GR05M2OP001,4.1,Reform of the Public Sector - GR - ESF/ERDF,ERDF,13,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,363161,90791,453952,80
SK,Slovakia,2014SK05M0OP001,4.1,Human Resources - SK - ESF/ERDF/YEI,ERDF,6,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Less developed,VOID,VOID,VOID,VOID,243662462,42999259,286661721,85
ES,Spain,2014ES05SFOP012,2,Social inclusion and social economy - ES - ESF,ESF,2D,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Less developed,VOID,VOID,VOID,VOID,70085558,17521390,87606948,80
ES,Spain,2014ES05SFOP002,2.1,Employment training and education - ES - ESF,ESF,8D,TA,Technical Assistance,Technical Assistance,Less developed,VOID,VOID,VOID,VOID,3731668,932917,4664585,80
GR,Greece,2014GR05M2OP001,4.1,Reform of the Public Sector - GR - ESF/ERDF,ERDF,13,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,636731,159183,795914,80
PL,Poland,2014PL16M1OP001,10,Infrastructure and Environment - PL - ERDF/CF,ERDF,8.,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,Less developed,VOID,VOID,VOID,VOID,416540167,73507090,490047257,85
IT,Italy,2014IT05SFOP002,3.1,Systems for Active Employment Policies - IT - ESF,ESF,2,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Less developed,VOID,VOID,VOID,VOID,33949428,18280461,52229889,65
GR,Greece,2014GR05M2OP001,4.1,Reform of the Public Sector - GR - ESF/ERDF,ESF,10,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,453272,113318,566590,80
IT,Italy,2014IT05SFOP002,3.1,Systems for Active Employment Policies - IT - ESF,ESF,1,08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Transition,VOID,VOID,VOID,VOID,27304824,18203216,45508040,60
ES,Spain,2014ES05SFOP002,2.1,Employment training and education - ES - ESF,ESF,6A,08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,456764,304510,761274,60
SK,Slovakia,2014SK05M0OP001,4.1,Human Resources - SK - ESF/ERDF/YEI,ESF,1,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",More developed,VOID,VOID,VOID,VOID,11394422,11394422,22788844,50
ES,Spain,2014ES05SFOP002,2.1,Employment training and education - ES - ESF,ESF,1A,08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,132827294,132827294,265654588,50
IT,Italy,2014IT05SFOP002,3.1,Systems for Active Employment Policies - IT - ESF,ESF,3,08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,1065889,1065889,2131778,50
IT,Italy,2014IT05SFOP002,3.1,Systems for Active Employment Policies - IT - ESF,ESF,5,TA,Technical Assistance,Technical Assistance,Less developed,VOID,VOID,VOID,VOID,45969852,24752997,70722849,65
PL,Poland,2014PL16M1OP001,10,Infrastructure and Environment - PL - ERDF/CF,ERDF,7.,07,Network Infrastructures in Transport and Energy,Promoting sustainable transport and removing bottlenecks in key network infrastructures,More developed,VOID,VOID,VOID,VOID,28193063,7048266,35241329,80
IT,Italy,2014IT05SFOP002,3.1,Systems for Active Employment Policies - IT - ESF,ESF,1,08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,38241208,38241208,76482416,50
ES,Spain,2014ES05SFOP002,2.1,Employment training and education - ES - ESF,ESF,1D,08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Less developed,VOID,VOID,VOID,VOID,108521504,27130377,135651881,80
IT,Italy,2014IT05SFOP002,3.1,Systems for Active Employment Policies - IT - ESF,ESF,3,08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Transition,VOID,VOID,VOID,VOID,262931,175287,438218,60
ES,Spain,2014ES05SFOP012,2,Social inclusion and social economy - ES - ESF,ESF,2A,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,100392411,100392411,200784822,50
